,input_text
664,"Title: First Cow | Release Date: 2020-03-06 | Overview: In the 1820s, a taciturn loner and skilled cook travels west to Oregon Territory, where he meets a Chinese immigrant also seeking his fortune. Soon the two team up on a dangerous scheme to steal milk from the wealthy landowner’s prized Jersey cow – the first, and only, in the territory. | Directors: Kelly Reichardt | Cast: John Magaro, Orion Lee, Toby Jones, Ewen Bremner, Scott Shepherd | Genres: Drama, Western | Production Companies: filmscience | Production Countries: US"
665,"Title: The Green Knight | Release Date: 2021-07-29 | Overview: An epic fantasy adventure based on the timeless Arthurian legend, The Green Knight tells the story of Sir Gawain, King Arthur's reckless and headstrong nephew, who embarks on a daring quest to confront the eponymous Green Knight, a gigantic emerald-skinned stranger and tester of men. | Directors: David Lowery | Cast: Dev Patel, Alicia Vikander, Joel Edgerton, Sarita Choudhury, Sean Harris | Genres: Adventure, Drama, Fantasy | Production Companies: A24, Bron Studios, Sailor Bear, Ley Line Entertainment, Wild Atlantic Pictures | Production Countries: CA, IE, US"
666,"Title: The Dude in Me | Release Date: 2019-01-09 | Overview: Dong-hyun is a high school student. One day, he falls from the rooftop and bumps into Pan-soo who is a passerby. Pan-soo is a member of a criminal organization. When the two men wake up in the hospital, they discover that they have switched bodies. | Directors: Kang Hyo-jin | Cast: Jung Jin-young, Park Sung-woong, Ra Mi-ran, Lee Soo-min, Kim Kwang-kyu | Genres: Fantasy, Comedy, Action | Production Companies: The Contents On, EchoFilm, Merry Christmas, The Pictures with a View, Finecut | Production Countries: KR"
667,"Title: Door Lock | Release Date: 2018-12-05 | Overview: Kyung-min lives alone in a one-room apartment. One day, she finds traces of a stranger breaking into her room and soon a mysterious murder case begins to unravel. | Directors: Lee Kwon | Cast: Gong Hyo-jin, Kim Ye-won, Kim Seung-o, Jo Bok-rae, Lee Ga-sub | Genres: Thriller, Crime, Mystery | Production Companies: Plus M Entertainment, Studio Pieona | Production Countries: KR"
668,"Title: The Farewell | Release Date: 2019-07-12 | Overview: A headstrong Chinese-American woman returns to China when her beloved grandmother is given a terminal diagnosis. Billi struggles with her family's decision to keep grandma in the dark about her own illness as they all stage an impromptu wedding to see grandma one last time. | Directors: Lulu Wang | Cast: Zhao Shuzhen, Awkwafina, X Mayo, Hong Lu, Hong Lin | Genres: Comedy, Drama | Production Companies: Big Beach, Depth of Field, Kindred Spirit, Seesaw Productions | Production Countries: CN, US"
669,"Title: The Man Standing Next | Release Date: 2020-01-22 | Overview: When the investigation of 'Koreagate' takes place, Park Yong-gak, a former KCIA director who knows everything about the government's operations, heads to the United States in exile. | Directors: Woo Min-ho | Cast: Lee Byung-hun, Lee Sung-min, Kwak Do-won, Lee Hee-jun, Kim So-jin | Genres: Drama, Thriller | Production Companies: Hive Media Corp, Gemstone Pictures, Showbox | Production Countries: KR"
670,"Title: Shang-Chi and the Legend of the Ten Rings | Release Date: 2021-09-01 | Overview: Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization. | Directors: Destin Daniel Cretton | Cast: Simu Liu, Tony Leung, Awkwafina, Ben Kingsley, Meng'er Zhang | Genres: Action, Adventure, Fantasy | Production Companies: Marvel Studios | Production Countries: US"
671,"Title: Case Closed: The Fist of Blue Sapphire | Release Date: 2019-04-12 | Overview: The world's greatest blue sapphire, the ""blue lapis fist"", said to have sunk in a pirate ship in the late 19th century, on the coasts of Singapore. A local millionaire plots to retrieve it, and when it's exhibited in an exhibition at the Singaporean Marina Sands hotel, a murder takes place. | Directors: Chika Nagaoka | Cast: Minami Takayama, Kappei Yamaguchi, Wakana Yamazaki, Rikiya Koyama, Naoko Matsui | Genres: Animation, Mystery, Crime, Action, Adventure | Production Companies: TMS Entertainment, Shogakukan, Yomiuri Telecasting Corporation, Nippon Television Network Corporation, Shogakukan-Shueisha Productions, TOHO | Production Countries: JP"
672,"Title: Battle of Jangsari | Release Date: 2019-09-25 | Overview: Korean War, September 1950. In order to fight the enemy forces based in the South of the peninsula, General MacArthur orders the start of the Incheon Landing Operation, deploying diversionary attacks in other locations. Without real military forces to spare, 772 very young Korean student soldiers, barely trained, are sent to Jangsari Beach, where they will face a heroic fate and discover the value of friendship. (A sequel to Operation Chromite, released in 2016.) | Directors: Kwak Kyung-taek, Kim Tae-hun | Cast: Kim Myung-min, Minho, Kim Sung-cheol, Kim In-kwon, Kwak Si-yang | Genres: Drama, History, War | Production Companies: Taewon Entertainment, Warner Bros. Korea, Film 295 | Production Countries: KR"
673,"Title: Extreme Job | Release Date: 2019-01-23 | Overview: A drug squad attempts to take down a criminal organization and they must go undercover to do so, so they begin working at a chicken restaurant, that becomes famous for its delicious chicken. Due to the unexpected popularity, the detectives find themselves in a situation they never expected. | Directors: Lee Byeong-heon | Cast: Ryu Seung-ryong, Lee Ha-nee, Jin Sun-kyu, Lee Dong-hwi, Gong Myoung | Genres: Action, Comedy, Crime | Production Companies: CJ Entertainment, about Film, Haegrimm Pictures | Production Countries: KR"
674,"Title: Dear Evan Hansen | Release Date: 2021-09-24 | Overview: Evan Hansen, a high schooler with social anxiety, unintentionally gets caught up in a lie after the family of a classmate who committed suicide mistakes one of Hansen’s letters for their son’s suicide note. | Directors: Stephen Chbosky | Cast: Ben Platt, Amy Adams, Kaitlyn Dever, Danny Pino, Julianne Moore | Genres: Drama | Production Companies: Universal Pictures, Marc Platt Productions, Perfect World Pictures, dentsu | Production Countries: JP, US"
675,"Title: The Guilty | Release Date: 2021-09-24 | Overview: A demoted police officer assigned to a call dispatch desk is conflicted when he receives an emergency phone call from a kidnapped woman. | Directors: Antoine Fuqua | Cast: Jake Gyllenhaal, Ethan Hawke, Riley Keough, Peter Sarsgaard, Christina Vidal | Genres: Drama, Thriller | Production Companies: Nine Stories Productions, Bold Films, Fuqua Films, Amet Entertainment, Endeavor Content, Capstone Pictures | Production Countries: US"
676,"Title: Encanto | Release Date: 2021-10-13 | Overview: The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope. | Directors: Byron Howard, Jared Bush | Cast: Stephanie Beatriz, María Cecilia Botero, John Leguizamo, Diane Guerrero, Jessica Darrow | Genres: Animation, Comedy, Family, Fantasy | Production Companies: Walt Disney Animation Studios, Walt Disney Pictures | Production Countries: US"
677,"Title: Weathering with You | Release Date: 2019-06-19 | Overview: The summer of his high school freshman year, Hodaka runs away from his remote island home to Tokyo, and quickly finds himself pushed to his financial and personal limits. The weather is unusually gloomy and rainy every day, as if taking its cue from his life. After many days of solitude, he finally finds work as a freelance writer for a mysterious occult magazine. Then, one day, Hodaka meets Hina on a busy street corner. This bright and strong-willed girl possesses a strange and wonderful ability: the power to stop the rain and clear the sky. | Directors: Makoto Shinkai | Cast: Kotaro Daigo, Nana Mori, Tsubasa Honda, Sakura Kiryu, Sei Hiraizumi | Genres: Animation, Drama, Fantasy, Romance | Production Companies: CoMix Wave Films, Story, TOHO, KADOKAWA, jeki, Lawson Entertainment, ""Weathering With You"" Film Partners | Production Countries: JP"
678,"Title: BTS World Tour: Love Yourself in Seoul | Release Date: 2019-01-26 | Overview: Shot at the Olympic Stadium in Seoul during the BTS World Tour ‘Love Yourself’ to celebrate the seven members of the global boyband and their unprecedented international phenomenon. | Directors: Son Sung-deuk | Cast: RM, Jin, Suga, j-hope, Jimin | Genres: Music, Documentary | Production Companies: Big Hit Entertainment, CJ Entertainment, CJ CGV | Production Countries: KR"
679,"Title: Hit-and-Run Squad | Release Date: 2019-01-30 | Overview: Min-jae, a rookie police officer with a natural born talent for driving, is assigned to the perfect team: the Hit-and-Run Squad. But at the same time, for police detective Si-yeon, it is a place she is unjustly demoted to for doing her job. The two team up to arrest the rich and powerful speed maniac Jae-chul who is suspected of committing crimes for his obsession for speed. | Directors: Han Jun-hee | Cast: Gong Hyo-jin, Ryu Jun-yeol, Cho Jung-seok, Yum Jung-ah, Jeon Hye-jin | Genres: Crime, Action | Production Companies: Showbox, HODU&U Pictures | Production Countries: KR"
680,"Title: Spider-Man: Across the Spider-Verse | Release Date: 2023-05-31 | Overview: After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most. | Directors: Kemp Powers, Justin K. Thompson, Joaquim Dos Santos | Cast: Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez, Jake Johnson | Genres: Animation, Action, Adventure, Science Fiction | Production Companies: Columbia Pictures, Sony Pictures Animation, Lord Miller, Pascal Pictures, Arad Productions, Marvel Entertainment | Production Countries: US"
681,"Title: Tune in for Love | Release Date: 2019-08-28 | Overview: During the 1990s, hardworking Mi-soo and optimistic Hyun-woo meet at a bakery and fall in love while exchanging stories on a radio station, but while their paths keep crossing, the timing never seems to work out. | Directors: Jung Ji-woo | Cast: Kim Go-eun, Jung Hae-in, Park Hae-jun, Kim Guk-hee, Jung Yoo-jin | Genres: Romance, Drama | Production Companies: Jung Ji-woo Film, Movierock, CGV Arthouse, Film Bongok | Production Countries: KR"
682,"Title: Innocent Witness | Release Date: 2019-02-13 | Overview: An old man is found dead, and his housekeeper is charged with the murder. Her defense attorney is surprised to learn the only witness to the crime is a teenage girl with autism. | Directors: Lee Han | Cast: Jung Woo-sung, Kim Hyang-gi, Lee Kyoo-hyung, Jang Young-nam, Yeom Hye-ran | Genres: Drama | Production Companies: Movierock, Studio By The Library, Lotte Entertainment | Production Countries: KR"
683,"Title: The Invisible Man | Release Date: 2020-02-26 | Overview: When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see. | Directors: Leigh Whannell | Cast: Elisabeth Moss, Aldis Hodge, Storm Reid, Michael Dorman, Harriet Dyer | Genres: Thriller, Science Fiction, Horror | Production Companies: Blumhouse Productions, Goalpost Pictures, Nervous Tick Productions, Universal Pictures | Production Countries: AU, US"
